,제목,설명,출연자_정보,조회수,좋아요수,댓글수,재생시간(초),년도,회차,출연자,업로드일,구독자수,term
184,국내 최초 ′아스트리드 린드그렌상′ 수상!? 구름빵 백희나 자기님! #,"#유퀴즈온더블럭

매주 수요일 저녁 8시 50분 tvN


#유퀴즈온더블럭 #유퀴즈 #유재석 #조세호 #문과vs이과
------------------------------------------------------------------
 ▶[유 퀴즈 온 더 블럭] 최신 클립 다시보기 : http://www.tving.com/smr/vod/player/P/C01_B120180515?from=youtube
------------------------------------------------------------------","['tvN', '유퀴즈온더블럭', '유퀴즈', '유재석', '조세호', '문과', '이과', '임두원', '서지음', '김성민', '최현민', '민준홍', '김지명', '백희나', '과학자', '작사가', '물리올림피아드', '수능만점자', '구름빵', '아스트리드린드그렌상', '그림책', '부먹', '찍먹', '문과감성', '엑소', '으르렁', 'EXO', '이별', '조명', 'f(x)', '에프엑스', '일렉트릭쇼크', '4당5락', '프린스홍', '연애', '자만추', '백혈병', '의사', '2021수능', '수험생', '아동계의노벨상']",13815,284,16,172,2020,71,백희나,2020-09-08,120000,1249
185,최대 난제 탕수육 부먹 vs 찍먹! ′과학적′으로 분석해본다면...? #,"#유퀴즈온더블럭

매주 수요일 저녁 8시 50분 tvN


#유퀴즈온더블럭 #유퀴즈 #유재석 #조세호 #문과vs이과

------------------------------------------------------------------
 ▶[유 퀴즈 온 더 블럭] 최신 클립 다시보기 : http://www.tving.com/smr/vod/player/P/C01_B120180515?from=youtube
------------------------------------------------------------------","['tvN', '유퀴즈온더블럭', '유퀴즈', '유재석', '조세호', '문과', '이과', '임두원', '서지음', '김성민', '최현민', '민준홍', '김지명', '백희나', '과학자', '작사가', '물리올림피아드', '수능만점자', '구름빵', '아스트리드린드그렌상', '그림책', '부먹', '찍먹', '문과감성', '엑소', '으르렁', 'EXO', '이별', '조명', 'f(x)', '에프엑스', '일렉트릭쇼크', '4당5락', '프린스홍', '연애', '자만추', '백혈병', '의사', '2021수능', '수험생', '아동계의노벨상']",4910,50,31,249,2020,71,임두원,2020-09-08,120000,1249
186,[#하이라이트#] 주류회사 팀장님의 멘트 클라쓰ㅋㅋ 일반인 레전드 유꽃비 자기님 모음ZIP #,"#유퀴즈온더블럭

매주 수요일 저녁 8시 50분 tvN


#유퀴즈온더블럭 #유퀴즈 #유재석 #조세호 #미생
------------------------------------------------------------------
 ▶[유 퀴즈 온 더 블럭] 최신 클립 다시보기 : http://www.tving.com/smr/vod/player/P/C01_B120180515?from=youtube
------------------------------------------------------------------","['tvN', '유퀴즈온더블럭', '유퀴즈', '유재석', '조세호', '직장인공감', '회사원', '미생', '신입사원', '대리', '팀장', '부장', '대표', '직급', '은행원', '시재', '신입사원실수', '퇴사욕구', '회식', '워킹맘', '영업수완', '연봉', '영업왕', '정몽구회장', '자동차영업', '삼진어묵', '가업']",2051751,21795,1859,682,2020,72,유꽃비,2020-09-16,140000,1241
187,[#하이라이트#] 우당탕탕 신입사원 눈 떠보니 아침 햇살이 눈부시고 새가 지저귀고 팀장님 부재중 전화 5통 썰#,"#유퀴즈온더블럭


매주 수요일 저녁 8시 40분 tvN



#유퀴즈온더블럭 #유퀴즈 #유재석 #조세호","['tvN', '유퀴즈온더블럭', '유퀴즈', '유재석', '조세호']",521109,3106,222,1036,2021,72,변상희,2020-09-16,140000,1241
188,[#하이라이트#] 우당탕탕 신입사원 눈 떠보니 아침 햇살이 눈부시고 새가 지저귀고 팀장님 부재중 전화 5통 썰#,"#유퀴즈온더블럭


매주 수요일 저녁 8시 40분 tvN



#유퀴즈온더블럭 #유퀴즈 #유재석 #조세호","['tvN', '유퀴즈온더블럭', '유퀴즈', '유재석', '조세호']",521109,3106,222,1036,2021,72,소재현,2020-09-16,140000,1241
189,사장님보다 연봉이 높은 부장님? 우리나라 자동차 판매 1위! 영업왕 자기님 #,"#유퀴즈온더블럭

매주 수요일 저녁 8시 50분 tvN


#유퀴즈온더블럭 #유퀴즈 #유재석 #조세호 #미생
------------------------------------------------------------------
 ▶[유 퀴즈 온 더 블럭] 최신 클립 다시보기 : http://www.tving.com/smr/vod/player/P/C01_B120180515?from=youtube
------------------------------------------------------------------","['tvN', '유퀴즈온더블럭', '유퀴즈', '유재석', '조세호', '직장인공감', '회사원', '미생', '신입사원', '대리', '팀장', '부장', '대표', '직급', '은행원', '시재', '신입사원실수', '퇴사욕구', '회식', '워킹맘', '영업수완', '연봉', '영업왕', '정몽구회장', '자동차영업', '삼진어묵', '가업']",208375,954,136,209,2020,72,박광주,2020-09-16,140000,1241
190,[선공개] 네? 초콜릿 어묵이요ㅇ_ㅇ? 천억 매출의 신화! 어묵 계의 스티브 잡스☆ #,"＜유 퀴즈 온 더 블럭＞
매주 (수) 밤 9시 tvN


#유퀴즈온더블럭 #유퀴즈 #선공개 #유재석 #조세호 #미생
------------------------------------------------------------------
 ▶[유 퀴즈 온 더 블럭] 최신 클립 다시보기 : http://www.tving.com/smr/vod/player/P/C01_B120180515?from=youtube
------------------------------------------------------------------","['tvN', '유퀴즈온더블럭', '유퀴즈', '유재석', '조세호']",102982,727,84,275,2020,72,박용준,2020-09-16,140000,1241
195,[#하이라이트#] 러블리의 인간화! 솔직 매력 뿜뿜하는 신민아 자기님 모음ZIP,"#유퀴즈온더블럭 
매주 수요일 저녁 8시 50분 tvN 
#유퀴즈온더블럭 #유퀴즈 #유재석 #조세호 #신민아 #소통왕","['tvN', '유퀴즈온더블럭', '유퀴즈', '유재석', '조세호']",1278219,6437,271,580,2020,73,신민아,2020-09-25,160000,1232
31,프로망붕러 광대 폭발♡ 과속스캔들 실사판 자기님들! | ,"＜유 퀴즈 온 더 블럭＞
매주 수요일 밤 8시 50분 tvN

#유퀴즈온더블럭 #유퀴즈 #유재석 #조세호 #유퀴즈리플레이 
------------------------------------------------------------------
 ▶[유 퀴즈 온 더 블럭] 최신 클립 다시보기 : http://www.tving.com/smr/vod/player/P/C01_B120180515?from=youtube
------------------------------------------------------------------",no_tags,81214,700,23,554,2020,43,오진우,2020-09-25,160000,1232
32,프로망붕러 광대 폭발♡ 과속스캔들 실사판 자기님들! | ,"＜유 퀴즈 온 더 블럭＞
매주 수요일 밤 8시 50분 tvN

#유퀴즈온더블럭 #유퀴즈 #유재석 #조세호 #유퀴즈리플레이 
------------------------------------------------------------------
 ▶[유 퀴즈 온 더 블럭] 최신 클립 다시보기 : http://www.tving.com/smr/vod/player/P/C01_B120180515?from=youtube
------------------------------------------------------------------",no_tags,81214,700,23,554,2020,43,이현주,2020-09-25,160000,1232
191,비행기도 끼어들기를 한다!? 하늘길을 만드는 관제사 자기님! #,"#유퀴즈온더블럭 
매주 수요일 저녁 8시 50분 tvN 
#유퀴즈온더블럭 #유퀴즈 #유재석 #조세호 #신민아 #소통왕","['tvN', '유퀴즈온더블럭', '유퀴즈', '유재석', '조세호']",15007,170,5,189,2020,73,이금주,2020-09-25,160000,1232
192,큰 자기 충격...! 충주시 홍보맨 자기님이 받아본 악플들ㅠㅠ #,"#유퀴즈온더블럭 
매주 수요일 저녁 8시 50분 tvN 
#유퀴즈온더블럭 #유퀴즈 #유재석 #조세호 #신민아 #소통왕","['tvN', '유퀴즈온더블럭', '유퀴즈', '유재석', '조세호']",9502,126,6,149,2020,73,김선태,2020-09-25,160000,1232
193,락스는 잘못이 없어요ㅠㅠ 자기님이 알려주는 락스에 관한 오해들 #,"#유퀴즈온더블럭 
매주 수요일 저녁 8시 50분 tvN 
#유퀴즈온더블럭 #유퀴즈 #유재석 #조세호 #신민아 #소통왕","['tvN', '유퀴즈온더블럭', '유퀴즈', '유재석', '조세호']",9194,89,7,169,2020,73,김춘재,2020-09-25,160000,1232
194,문재인 대통령-트럼프 대통령 사이에서 밥 먹은 자기님의 역대급 SSUL #,"#유퀴즈온더블럭 
매주 수요일 저녁 8시 50분 tvN 
#유퀴즈온더블럭 #유퀴즈 #유재석 #조세호 #신민아 #소통왕","['tvN', '유퀴즈온더블럭', '유퀴즈', '유재석', '조세호']",4989,46,4,274,2020,73,김태현,2020-09-25,160000,1232
196,[#하이라이트#] 걸크 뿜뿜♨ 댄스 듀오 '올레디' 자기님들의 고추냉이 맛 토크 모아봤zip #,"#유퀴즈온더블럭
매주 수요일 저녁 8시 50분 tvN

#유퀴즈온더블럭 #유퀴즈 #유재석 #조세호 #추석특집 #조선의힙스터","['tvN', '유퀴즈온더블럭', '유퀴즈', '유재석', '조세호', '페이커', '이날치', '올레디', '이수영회장', '이봉식', '카이스트기부', '해병대1기', '범내려온다', 'LEENALCHI', 'ALLREADY', 'FAKER', '롤드컵', '국악밴드', '김광석', '제니퍼로페즈', '월드오브댄스', 'WORLDOFDANCE', '625전쟁', '인천상륙작전', '분대원', '유재석쌈바', '전우애']",2836030,32179,1761,506,2020,74,올레디,2020-09-30,180000,1227
197,신혼생활 2년 차♥ 이수영 회장님이 결혼을 결심한 이유!? #,"#유퀴즈온더블럭
매주 수요일 저녁 8시 50분 tvN

#유퀴즈온더블럭 #유퀴즈 #유재석 #조세호 #추석특집 #조선의힙스터","['tvN', '유퀴즈온더블럭', '유퀴즈', '유재석', '조세호', '페이커', '이날치', '올레디', '이수영회장', '이봉식', '카이스트기부', '해병대1기', '범내려온다', 'LEENALCHI', 'ALLREADY', 'FAKER', '롤드컵', '국악밴드', '김광석', '제니퍼로페즈', '월드오브댄스', 'WORLDOFDANCE', '625전쟁', '인천상륙작전', '분대원', '유재석쌈바', '전우애']",1509755,9879,443,197,2020,74,이수영,2020-09-30,180000,1227
198,밴드와 국악의 환상 조화! '이날치'의 노래가 작자 미상인 이유? #,"#유퀴즈온더블럭
매주 수요일 저녁 8시 50분 tvN

#유퀴즈온더블럭 #유퀴즈 #유재석 #조세호 #추석특집 #조선의힙스터","['tvN', '유퀴즈온더블럭', '유퀴즈', '유재석', '조세호', '페이커', '이날치', '올레디', '이수영회장', '이봉식', '카이스트기부', '해병대1기', '범내려온다', 'LEENALCHI', 'ALLREADY', 'FAKER', '롤드컵', '국악밴드', '김광석', '제니퍼로페즈', '월드오브댄스', 'WORLDOFDANCE', '625전쟁', '인천상륙작전', '분대원', '유재석쌈바', '전우애']",1312765,10580,391,159,2020,74,이날치,2020-09-30,180000,1227
199,[#하이라이트#] e스포츠의 전설 '페이커' 유퀴즈 등판! '우리혁'의 차분~한 입담 모아보기.zip,"{유퀴즈 온 더 블럭＞ 
매주 (수) 저녁 8시 50분 tvN 

#유퀴즈온더블럭 #유퀴즈 #선공개 #유재석 #조세호 #페이커 #이상혁","['유퀴즈온더블럭', '유퀴즈', '예고', '유재석', '조세호', '추석']",3134317,39388,5576,525,2020,74,이상혁,2020-09-30,180000,1227
200,"""곳곳에 널브러진 시신들.."" 해병대 1기 이봉식 선생님의 인천상륙작전 이야기 #","#유퀴즈온더블럭
매주 수요일 저녁 8시 50분 tvN

#유퀴즈온더블럭 #유퀴즈 #유재석 #조세호 #추석특집 #조선의힙스터","['tvN', '유퀴즈온더블럭', '유퀴즈', '유재석', '조세호', '페이커', '이날치', '올레디', '이수영회장', '이봉식', '카이스트기부', '해병대1기', '범내려온다', 'LEENALCHI', 'ALLREADY', 'FAKER', '롤드컵', '국악밴드', '김광석', '제니퍼로페즈', '월드오브댄스', 'WORLDOFDANCE', '625전쟁', '인천상륙작전', '분대원', '유재석쌈바', '전우애']",47595,725,99,206,2020,74,이봉식,2020-09-30,180000,1227
201,손 모델 자기님의 남다른 직업의식! 철저한 '금손' 관리법은?  #,"""#유퀴즈온더블럭
매주 수요일 저녁 8시 40분 tvN



#유퀴즈온더블럭 #유퀴즈 #유재석 #조세호 #금손특집","['tvN', '유퀴즈온더블럭', '유퀴즈', '유재석', '조세호', '솔비', '권지안', '수어통역사', '손모델', '광고모델', '호미', '대장장이', '떡볶이']",514407,1928,352,183,2020,75,윤선영,2020-10-10,220000,1217
202,[#하이라이트#] 누구보다 떡볶이에 진심인 두끼 떡볶이 대표 김관훈 자기님.zip   #,"""#유퀴즈온더블럭
매주 수요일 저녁 8시 40분 tvN



#유퀴즈온더블럭 #유퀴즈 #유재석 #조세호 #금손특집","['tvN', '유퀴즈온더블럭', '유퀴즈', '유재석', '조세호', '솔비', '권지안', '수어통역사', '손모델', '광고모델', '호미', '대장장이', '떡볶이']",268982,2652,225,637,2020,75,김관훈,2020-10-10,220000,1217
203,[#하이라이트#] 찐아티스트로 거듭난 금손!! 매력 터지는 솔비 자기님 모아보기   #,"""#유퀴즈온더블럭
매주 수요일 저녁 8시 40분 tvN



#유퀴즈온더블럭 #유퀴즈 #유재석 #조세호 #금손특집","['tvN', '유퀴즈온더블럭', '유퀴즈', '유재석', '조세호', '솔비', '권지안', '수어통역사', '손모델', '광고모델', '호미', '대장장이', '떡볶이']",85064,881,740,478,2020,75,권지안,2020-10-10,220000,1217
204,"""수어는 서비스가 아니에요"" 수어통역사 권동호 자기님이 바라는 점  #","""#유퀴즈온더블럭
매주 수요일 저녁 8시 40분 tvN



#유퀴즈온더블럭 #유퀴즈 #유재석 #조세호 #금손특집","['tvN', '유퀴즈온더블럭', '유퀴즈', '유재석', '조세호', '솔비', '권지안', '수어통역사', '손모델', '광고모델', '호미', '대장장이', '떡볶이']",65721,1331,81,230,2020,75,권동호,2020-10-10,220000,1217
205,써본 사람만 안다! 감탄을 부르는 대장장이 자기님의 호미 부심  #,"""#유퀴즈온더블럭
매주 수요일 저녁 8시 40분 tvN



#유퀴즈온더블럭 #유퀴즈 #유재석 #조세호 #금손특집","['tvN', '유퀴즈온더블럭', '유퀴즈', '유재석', '조세호', '솔비', '권지안', '수어통역사', '손모델', '광고모델', '호미', '대장장이', '떡볶이']",20686,291,15,165,2020,75,석노기,2020-10-10,220000,1217
206,[#하이라이트#] 난리났네 난리났어! 부산세관 김철민팀장님의 현웃 성대모사ㅋㅋㅋㅋㅋ (feat.뭉게구름 화법) #,"#유퀴즈온더블럭
매주 수요일 밤 9시 tvN

#유퀴즈온더블럭 #유퀴즈 #유재석 #조세호 #공무원","['tvN', '유퀴즈온더블럭', '유퀴즈', '유재석', '조세호']",1625367,16144,992,598,2020,76,김철민,2020-10-15,240000,1212
207,신문사 국장이었던 김찬석 자기님이 9급 공무원이 된 이유 #,"#유퀴즈온더블럭
매주 수요일 저녁 8시 40분 tvN","['tvN', '유퀴즈온더블럭', '유퀴즈', '유재석', '조세호']",407690,4899,232,184,2020,76,김찬석,2020-10-15,240000,1212
208,[#하이라이트#] 어딘가 이상하게 친절한(?) 기상청 박정민 예보관 자기님 모아보기 #,"#유퀴즈온더블럭
매주 수요일 저녁 8시 40분 tvN




#유퀴즈온더블럭 #유퀴즈 #유재석 #조세호 #공무원","['tvN', '유퀴즈온더블럭', '유퀴즈', '유재석', '조세호']",146311,1303,236,639,2020,76,박정민,2020-10-15,240000,1212
209,무인도 '격렬비열도'를 지키는 등대지기 자기님에게... '휴일'이란?#,"#유퀴즈온더블럭
매주 수요일 저녁 8시 40분 tvN","['tvN', '유퀴즈온더블럭', '유퀴즈', '유재석', '조세호']",119761,814,60,131,2020,76,이제길,2020-10-15,240000,1212
210,[#하이라이트#] 경력 끝판왕☆ 거쳐간 직업만 4개?! 송지헌 자기님 모음.zip#,"#유퀴즈온더블럭
매주 수요일 저녁 8시 40분 tvN


#유퀴즈온더블럭 #유퀴즈 #유재석 #조세호 #이력부자특집","['tvN', '유퀴즈온더블럭', '유퀴즈', '유재석', '조세호', '박승희', '쇼트트랙', '스피드스케이팅', '강연권', '그것이알고싶다', '전기차사업', '치과의사', '김영삼', '사랑니', '은행원', '승무원', '경찰', '변호사', '사법고시']",616623,7010,827,649,2020,77,송지헌,2020-10-21,260000,1206
211,[#하이라이트#] 은퇴가 제일 쉬웠어요(?) 세상 쿨한 박승희 자기님 모아보기#,"#유퀴즈온더블럭
매주 수요일 저녁 8시 40분 tvN


#유퀴즈온더블럭 #유퀴즈 #유재석 #조세호 #이력부자특집","['tvN', '유퀴즈온더블럭', '유퀴즈', '유재석', '조세호', '박승희', '쇼트트랙', '스피드스케이팅', '강연권', '그것이알고싶다', '전기차사업', '치과의사', '김영삼', '사랑니', '은행원', '승무원', '경찰', '변호사', '사법고시']",604317,4331,262,529,2020,77,박승희,2020-10-21,260000,1206
212,[선공개] 개그맨 출신 치과의사! 샤이가이(?) 김영삼 자기님 (feat. 조셉의 치아 미스터리) #,"＜유 퀴즈 온 더 블럭＞
매주 (수) 저녁 8시 40분 tvN


#유퀴즈온더블럭 #유퀴즈 #선공개 #유재석 #조세호 #독특한이력서","['tvN', '유퀴즈온더블럭', '유퀴즈', '유재석', '조세호']",361815,2871,216,301,2020,77,김영삼,2020-10-21,260000,1206
213,28년간의 꿈이 현실이 되었을 때...! 가장 먼저 든 생각은? #,"#유퀴즈온더블럭
매주 수요일 저녁 8시 40분 tvN


#유퀴즈온더블럭 #유퀴즈 #유재석 #조세호 #이력부자특집","['tvN', '유퀴즈온더블럭', '유퀴즈', '유재석', '조세호', '박승희', '쇼트트랙', '스피드스케이팅', '강연권', '그것이알고싶다', '전기차사업', '치과의사', '김영삼', '사랑니', '은행원', '승무원', '경찰', '변호사', '사법고시']",81824,765,113,208,2020,77,권진성,2020-10-21,260000,1206
214,[#하이라이트#] 온종일 돼지고기 썰다가 미국 유학 전액장학금 연락도 안 받은(!) 카이스트 출신 자기님 #,"#유퀴즈온더블럭
매주 수요일 저녁 8시 40분 tvN

#유퀴즈온더블럭 #유퀴즈 #유재석 #조세호 #맛있는녀석들특집","['tvN', '유퀴즈온더블럭', '유퀴즈', '유재석', '조세호', '맛집', '먹방', '부대찌개', '막걸리', '돼지고기', '삼겹살', '스타트업', '회', '해산물', '수산시장', '테라로사', '강릉카페거리', '커피', '카페']",2265351,13831,1432,804,2020,78,김재연,2020-10-29,280000,1198
215,[#하이라이트#] 'I LOVE 부대찌개♥' 대한미국인 울프 슈뢰더 자기님 모음 #,"#유퀴즈온더블럭
매주 수요일 저녁 8시 40분 tvN


#유퀴즈온더블럭 #유퀴즈 #유재석 #조세호 #맛있는녀석들특집",no_tags,1372911,13401,803,639,2020,78,울프 슈뢰더,2020-10-29,280000,1198
216,다니던 직장까지 그만둔 열정! 백종원도 인정한 어류 칼럼니스트 자기님 #,"#유퀴즈온더블럭
매주 수요일 저녁 8시 40분 tvN


#유퀴즈온더블럭 #유퀴즈 #유재석 #조세호 #맛있는녀석들특집",no_tags,269540,1726,176,189,2020,78,김지민,2020-10-29,280000,1198
217,[#하이라이트#] '대표님 사랑해요♥' 막걸리 대표 자기님과 격한(?) 직원들 모음.zip #,"#유퀴즈온더블럭
매주 수요일 저녁 8시 40분 tvN


#유퀴즈온더블럭 #유퀴즈 #유재석 #조세호 #맛있는녀석들특집",no_tags,210270,1575,119,502,2020,78,김기환,2020-10-29,280000,1198
218,"김용덕 자기님의 목표는,,,  '나의 업을 국가의 경쟁력으로 만드는 것!"" #","#유퀴즈온더블럭
매주 수요일 저녁 8시 40분 tvN


#유퀴즈온더블럭 #유퀴즈 #유재석 #조세호 #맛있는녀석들특집",no_tags,21735,352,16,111,2020,78,김용덕,2020-10-29,280000,1198
219,[#하이라이트#] 전국에 딱 7명 있는 직업? 국과수 자기님들과의 토크 #,"#유퀴즈온더블럭

매주 수요일 저녁 8시 40분 tvN


#유퀴즈온더블럭 #유퀴즈 #유재석 #조세호 #국과수","['tvN', '유퀴즈온더블럭', '유퀴즈', '유재석', '조세호', '국과수', '국립과학수사연구원', '법의학자', '부검의', '유전자연구원']",4163492,34143,2629,559,2020,79,김의주,2020-11-05,300000,1191
220,[#하이라이트#] 전국에 딱 7명 있는 직업? 국과수 자기님들과의 토크 #,"#유퀴즈온더블럭

매주 수요일 저녁 8시 40분 tvN


#유퀴즈온더블럭 #유퀴즈 #유재석 #조세호 #국과수","['tvN', '유퀴즈온더블럭', '유퀴즈', '유재석', '조세호', '국과수', '국립과학수사연구원', '법의학자', '부검의', '유전자연구원']",4163492,34143,2629,559,2020,79,곽유진,2020-11-05,300000,1191
221,미세증거 전문가 이동계 자기님께 듣는 경남 로프줄 절단 사건 이야기#,"#유퀴즈온더블럭

매주 수요일 저녁 8시 40분 tvN


#유퀴즈온더블럭 #유퀴즈 #유재석 #조세호 #국과수","['tvN', '유퀴즈온더블럭', '유퀴즈', '유재석', '조세호', '국과수', '국립과학수사연구원', '법의학자', '부검의', '유전자연구원']",758956,5580,752,258,2020,79,이동계,2020-11-05,300000,1191
222,강호순 연쇄살인사건이 끝날 수 있었던 결정적인 증거가 DNA?!#,"#유퀴즈온더블럭

매주 수요일 저녁 8시 40분 tvN


#유퀴즈온더블럭 #유퀴즈 #유재석 #조세호 #국과수","['tvN', '유퀴즈온더블럭', '유퀴즈', '유재석', '조세호', '국과수', '국립과학수사연구원', '법의학자', '부검의', '유전자연구원']",598560,4215,173,229,2020,79,이동섭,2020-11-05,300000,1191
223,[#하이라이트#] 괄약근의 움직임으로 범인 잡는 의자가 있다?! 우리가 몰랐던 흥미로운 거짓말탐지의 세계#,"#유퀴즈온더블럭
매주 수요일 저녁 8시 40분 tvN

#유퀴즈온더블럭 #유퀴즈 #유재석 #조세호 #국과수","['tvN', '유퀴즈온더블럭', '유퀴즈', '유재석', '조세호', '국과수', '국립과학수사연구원', '법의학자', '부검의', '유전자연구원']",323669,2576,85,633,2020,79,김희송,2020-11-05,300000,1191
224,박남규 자기님이 화재감식 전문가 일을 하면서 생긴 트라우마#,"#유퀴즈온더블럭

매주 수요일 저녁 8시 40분 tvN


#유퀴즈온더블럭 #유퀴즈 #유재석 #조세호 #국과수","['tvN', '유퀴즈온더블럭', '유퀴즈', '유재석', '조세호', '국과수', '국립과학수사연구원', '법의학자', '부검의', '유전자연구원']",36762,353,5,86,2020,79,박남규,2020-11-05,300000,1191
225,[선공개] 속초 시내를 사수하라! 사상 최악의 산불 속으로 뛰어들었던 박치우 구조대원#,"＜유 퀴즈 온 더 블럭＞
매주 (수) 저녁 8시 40분 tvN


#유퀴즈온더블럭 #유퀴즈 #선공개 #유재석 #조세호 #소방관","['유퀴즈온더블럭', '유퀴즈', '예고', '유재석', '조세호', '소방관']",77749,1114,102,333,2020,80,박치우,2020-11-11,320000,1185
226,[선공개] 2시간 코스? 40분 만에 돌파! 등산객을 지키는 북한산의 산신령 '산악구조대'#,"＜유 퀴즈 온 더 블럭＞
매주 (수) 저녁 8시 40분 tvN


#유퀴즈온더블럭 #유퀴즈 #선공개 #유재석 #조세호 #소방관","['유퀴즈온더블럭', '유퀴즈', '예고', '유재석', '조세호', '소방관']",48792,625,55,279,2020,80,김진선,2020-11-11,320000,1185
227,10년 차 소방관! 119종합상황실 조진영 소방장님의 수당은...?#,"#유퀴즈온더블럭

매주 수요일 저녁 8시 40분 tvN


#유퀴즈온더블럭 #유퀴즈 #유재석 #조세호 #소방관","['tvN', '유퀴즈온더블럭', '유퀴즈', '유재석', '조세호', '국과수', '국립과학수사연구원', '법의학자', '부검의', '유전자연구원']",41388,332,40,102,2020,80,조진영,2020-11-11,320000,1185
228,대구 지하철 화재현장에 최초 진입! 김명배 소방위님께 듣는 당시 이야기#,"#유퀴즈온더블럭

매주 수요일 저녁 8시 40분 tvN


#유퀴즈온더블럭 #유퀴즈 #유재석 #조세호 #소방관","['tvN', '유퀴즈온더블럭', '유퀴즈', '유재석', '조세호', '국과수', '국립과학수사연구원', '법의학자', '부검의', '유전자연구원']",27833,283,44,363,2020,80,김명배,2020-11-11,320000,1185
229,신미애 소방위님께 직접 듣는 '구급대원의 긴급 출동 상황'#,"#유퀴즈온더블럭

매주 수요일 저녁 8시 40분 tvN


#유퀴즈온더블럭 #유퀴즈 #유재석 #조세호 #소방관","['tvN', '유퀴즈온더블럭', '유퀴즈', '유재석', '조세호', '국과수', '국립과학수사연구원', '법의학자', '부검의', '유전자연구원']",5339,80,1,102,2020,80,신미애,2020-11-11,320000,1185
231,[선공개] 이것이 모범생의 광기다...! 어쩌다 'BTS 여고생' (feat. 조회 수 700만!)#,"＜유 퀴즈 온 더 블럭＞
매주 (수) 저녁 8시 40분 tvN


#유퀴즈온더블럭 #유퀴즈 #선공개 #유재석 #조세호 #어쩌다","['유퀴즈온더블럭', '유퀴즈', '예고', '유재석', '조세호', '어쩌다']",913338,12468,753,282,2020,81,김정현,2020-11-18,340000,1178
232,친구들의 '좋아요'로 알게되어버린 아빠의 SNS 영향력(?) #,"#유퀴즈온더블럭

매주 수요일 저녁 8시 40분 tvN


#유퀴즈온더블럭 #유퀴즈 #유재석 #조세호 #어쩌다","['tvN', '유퀴즈온더블럭', '유퀴즈', '유재석', '조세호', '졸업사진', '수능금지곡', 'ss501', '바다', '장기하', '장기하와얼굴들', 'BTS', '방탄소년단', '커버댄스', '안중근의사']",92386,796,30,114,2020,81,정상훈,2020-11-18,340000,1178
233,[#하이라이트#] 어쩌다 베스트셀러 작가 장기하 자기님과의 토크 #,"#유퀴즈온더블럭

매주 수요일 저녁 8시 40분 tvN


#유퀴즈온더블럭 #유퀴즈 #유재석 #조세호 #어쩌다","['tvN', '유퀴즈온더블럭', '유퀴즈', '유재석', '조세호', '졸업사진', '수능금지곡', 'ss501', '바다', '장기하', '장기하와얼굴들', 'BTS', '방탄소년단', '커버댄스', '안중근의사']",63146,688,23,328,2020,81,장기하,2020-11-18,340000,1178
234,안중근 의사의 재판 당시 기록?! 이걸 어디서 나셨어요...?? #,"#유퀴즈온더블럭

매주 수요일 저녁 8시 40분 tvN


#유퀴즈온더블럭 #유퀴즈 #유재석 #조세호 #어쩌다","['tvN', '유퀴즈온더블럭', '유퀴즈', '유재석', '조세호', '졸업사진', '수능금지곡', 'ss501', '바다', '장기하', '장기하와얼굴들', 'BTS', '방탄소년단', '커버댄스', '안중근의사']",21679,428,20,274,2020,81,조규태,2020-11-18,340000,1178
235,안중근 의사의 재판 당시 기록?! 이걸 어디서 나셨어요...?? #,"#유퀴즈온더블럭

매주 수요일 저녁 8시 40분 tvN


#유퀴즈온더블럭 #유퀴즈 #유재석 #조세호 #어쩌다","['tvN', '유퀴즈온더블럭', '유퀴즈', '유재석', '조세호', '졸업사진', '수능금지곡', 'ss501', '바다', '장기하', '장기하와얼굴들', 'BTS', '방탄소년단', '커버댄스', '안중근의사']",21679,428,20,274,2020,81,조민기,2020-11-18,340000,1178
230,큰 자기 리얼 웃음 폭발ㅋㅋ 유퀴즈 역대 가장 웃긴 오답!,"#유퀴즈온더블럭

매주 수요일 저녁 8시 40분 tvN


#유퀴즈온더블럭 #유퀴즈 #유재석 #조세호 #어쩌다","['tvN', '유퀴즈온더블럭', '유퀴즈', '유재석', '조세호', '졸업사진', '수능금지곡', 'ss501', '바다', '장기하', '장기하와얼굴들', 'BTS', '방탄소년단', '커버댄스', '안중근의사']",5096956,35070,1617,156,2020,81,한상원,2020-11-18,340000,1178
238,이종효 자기님 카페 농번기 인기 메뉴ㅋㅋ 믹스커피x3 셰이크☆#,"＜유 퀴즈 온 더 블럭＞
매주 (수) 저녁 8시 40분 tvN
#유퀴즈온더블럭 #유퀴즈 #선공개 #유재석 #조세호 #어떻게살것인가","['유퀴즈온더블럭', '유퀴즈', '예고', '유재석', '조세호', '공유']",100151,825,58,121,2020,82,이종효,2020-11-25,360000,1171
239,대기업 출신(?)에서 스님이 되신 결정적 이유! '죽음에 대한 의문'#,"＜유 퀴즈 온 더 블럭＞
매주 (수) 저녁 8시 40분 tvN
#유퀴즈온더블럭 #유퀴즈 #선공개 #유재석 #조세호 #어떻게살것인가","['유퀴즈온더블럭', '유퀴즈', '예고', '유재석', '조세호', '공유']",44480,396,36,155,2020,82,월호,2020-11-25,360000,1171
