,제목,설명,출연자_정보,조회수,좋아요수,댓글수,재생시간(초),년도,회차,출연자,업로드일,구독자수,term
12,춘천 술 박사님의 알코올 철학에 팩폭 날리는 여사님 | ,"＜유 퀴즈 온 더 블럭＞ 매주 화요일 밤 11시 tvN 방송
------------------------------------------------------------------
 ▶[유 퀴즈 온 더 블럭] 최신 클립 다시보기 : http://www.tving.com/smr/vod/player/P/C01_B120180515?from=youtube
------------------------------------------------------------------","['유퀴즈온더블럭', '유퀴즈', '유재석', '조세호', 'tvN', '예능', '퀴즈', '춘천', '세차', '중매', '미수퐁', '토스트', '장수', '여행', '피난', '청춘', '빵집', '닭갈비', '춘천닭갈비', '초등학생', '박사마을', '술', '오이']",285,4,1,181,2019,41,김정순,2020-07-29,0,1290
13,[선공개] 큰 자기 광대 승천♡ 어서 와 ′초등학교썸′은 처음이지? | ,"＜유 퀴즈 온 더 블럭＞ 매주 화요일 밤 11시 tvN
------------------------------------------------------------------
 ▶[유 퀴즈 온 더 블럭] 최신 클립 다시보기 : http://www.tving.com/smr/vod/player/P/C01_B120180515?from=youtube
------------------------------------------------------------------","['유퀴즈온더블럭', '유퀴즈', '유재석', '조세호', 'tvN', '예능', '퀴즈', '춘천']",156,4,0,248,2019,41,한정석,2020-07-29,0,1290
14,[선공개] 큰 자기 광대 승천♡ 어서 와 ′초등학교썸′은 처음이지? | ,"＜유 퀴즈 온 더 블럭＞ 매주 화요일 밤 11시 tvN
------------------------------------------------------------------
 ▶[유 퀴즈 온 더 블럭] 최신 클립 다시보기 : http://www.tving.com/smr/vod/player/P/C01_B120180515?from=youtube
------------------------------------------------------------------","['유퀴즈온더블럭', '유퀴즈', '유재석', '조세호', 'tvN', '예능', '퀴즈', '춘천']",156,4,0,248,2019,41,홍보민,2020-07-29,0,1290
15,[선공개] 큰 자기 광대 승천♡ 어서 와 ′초등학교썸′은 처음이지? | ,"＜유 퀴즈 온 더 블럭＞ 매주 화요일 밤 11시 tvN
------------------------------------------------------------------
 ▶[유 퀴즈 온 더 블럭] 최신 클립 다시보기 : http://www.tving.com/smr/vod/player/P/C01_B120180515?from=youtube
------------------------------------------------------------------","['유퀴즈온더블럭', '유퀴즈', '유재석', '조세호', 'tvN', '예능', '퀴즈', '춘천']",156,4,0,248,2019,41,길태후,2020-07-29,0,1290
16,큰 자기는 토크 삼매경 아기자기는 무관심 먹방 타임 | ,"＜유 퀴즈 온 더 블럭＞ 매주 화요일 밤 11시 tvN 방송
------------------------------------------------------------------
 ▶[유 퀴즈 온 더 블럭] 최신 클립 다시보기 : http://www.tving.com/smr/vod/player/P/C01_B120180515?from=youtube
------------------------------------------------------------------","['유퀴즈온더블럭', '유퀴즈', '유재석', '조세호', 'tvN', '예능', '퀴즈', '춘천', '세차', '중매', '미수퐁', '토스트', '장수', '여행', '피난', '청춘', '빵집', '닭갈비', '춘천닭갈비', '초등학생', '박사마을', '술', '오이']",99,0,0,227,2019,41,먹방,2020-07-29,0,1290
17,박사마을에는 1가구 1박사 아닌가요? 아닙니다 (단호) | ,"＜유 퀴즈 온 더 블럭＞ 매주 화요일 밤 11시 tvN 방송
------------------------------------------------------------------
 ▶[유 퀴즈 온 더 블럭] 최신 클립 다시보기 : http://www.tving.com/smr/vod/player/P/C01_B120180515?from=youtube
------------------------------------------------------------------","['유퀴즈온더블럭', '유퀴즈', '유재석', '조세호', 'tvN', '예능', '퀴즈', '춘천', '세차', '중매', '미수퐁', '토스트', '장수', '여행', '피난', '청춘', '빵집', '닭갈비', '춘천닭갈비', '초등학생', '박사마을', '술', '오이']",91,0,0,177,2019,41,길흥순,2020-07-29,0,1290
18,큰 자기의 잔소리에 자기 모르게 나온 조셉의 속마음?! | ,"＜유 퀴즈 온 더 블럭＞ 매주 화요일 밤 11시 tvN 방송
------------------------------------------------------------------
 ▶[유 퀴즈 온 더 블럭] 최신 클립 다시보기 : http://www.tving.com/smr/vod/player/P/C01_B120180515?from=youtube
------------------------------------------------------------------","['유퀴즈온더블럭', '유퀴즈', '유재석', '조세호', 'tvN', '예능', '퀴즈', '춘천', '세차', '중매', '미수퐁', '토스트', '장수', '여행', '피난', '청춘', '빵집', '닭갈비', '춘천닭갈비', '초등학생', '박사마을', '술', '오이']",43,0,0,220,2019,41,먹방,2020-07-29,0,1290
33,[#유퀴즈] 43화 레전드! 드디어 치느님 등장! '치킨'&'골뱅이 소면' 먹방 |,"＜유 퀴즈 온 더 블럭＞ 매주 화요일 밤 11시 tvN 

#유퀴즈온더블럭 #유퀴즈 #유퀴즈_부암동
------------------------------------------------------------------
 ▶[유 퀴즈 온 더 블럭] 최신 클립 다시보기 : http://www.tving.com/smr/vod/player/P/C01_B120180515?from=youtube
------------------------------------------------------------------","['유퀴즈온더블럭', '유퀴즈', '유재석', '조세호', '예능', '퀴즈', '부암동']",315,4,0,320,2019,43,먹방,2020-07-29,0,1290
34,큰 자기 찐팬♡ 무한 긍정 자기님 등장! | ,"＜유 퀴즈 온 더 블럭＞ 매주 화요일 밤 11시 tvN

#유퀴즈온더블럭 #유퀴즈 #유퀴즈_부암동 

------------------------------------------------------------------
 ▶[유 퀴즈 온 더 블럭] 최신 클립 다시보기 : http://www.tving.com/smr/vod/player/P/C01_B120180515?from=youtube
------------------------------------------------------------------","['유퀴즈온더블럭', '유퀴즈', '유재석', '조세호', '예능', '퀴즈', '부암동']",190,2,0,430,2019,43,서담희,2020-07-29,0,1290
35,점점 올라가는 큰 자기의 진실의 광대? 이건 썸이다♡ | ,"＜유 퀴즈 온 더 블럭＞ 매주 화요일 밤 11시 tvN

#유퀴즈온더블럭 #유퀴즈 #유퀴즈_부암동
------------------------------------------------------------------
 ▶[유 퀴즈 온 더 블럭] 최신 클립 다시보기 : http://www.tving.com/smr/vod/player/P/C01_B120180515?from=youtube
------------------------------------------------------------------","['유퀴즈온더블럭', '유퀴즈', '유재석', '조세호', '예능', '퀴즈', '부암동']",113,1,0,216,2019,43,세나,2020-07-29,0,1290
36,점점 올라가는 큰 자기의 진실의 광대? 이건 썸이다♡ | ,"＜유 퀴즈 온 더 블럭＞ 매주 화요일 밤 11시 tvN

#유퀴즈온더블럭 #유퀴즈 #유퀴즈_부암동
------------------------------------------------------------------
 ▶[유 퀴즈 온 더 블럭] 최신 클립 다시보기 : http://www.tving.com/smr/vod/player/P/C01_B120180515?from=youtube
------------------------------------------------------------------","['유퀴즈온더블럭', '유퀴즈', '유재석', '조세호', '예능', '퀴즈', '부암동']",113,1,0,216,2019,43, 이재원,2020-07-29,0,1290
