,rank,name,birth,team,year,gp,cg,sho,gs,win,loss,save,hold,inning,runs,earned_run,batter_faced,hits,base2,base3,home_run,walk,intentional_walk,hb,so,balk,wild,ERA,FIP,WHIP,ERAplus,FIPplus,WAR,WPA
214,215.0,홍성민,1989-07-15,Lotte Giants,2015,67.0,0.0,0.0,0.0,4.0,4.0,1.0,8.0,82.0,38.0,36.0,352.0,85.0,19.0,2.0,8.0,24.0,4.0,10.0,65.0,0.0,4.0,3.95,4.4,1.33,127.6,111.9,1.91,-1.04
215,216.0,박정배,1982-04-01,SSG Landers,2017,61.0,0.0,0.0,0.0,5.0,3.0,7.0,16.0,68.0,32.0,27.0,290.0,58.0,12.0,2.0,9.0,33.0,6.0,3.0,49.0,0.0,4.0,3.57,5.34,1.34,140.8,95.0,1.91,1.87
216,217.0,박종훈,1991-08-13,SSG Landers,2020,29.0,0.0,0.0,28.0,13.0,11.0,0.0,0.0,157.1,90.0,84.0,691.0,146.0,21.0,3.0,14.0,78.0,1.0,22.0,134.0,0.0,5.0,4.81,4.9,1.42,100.4,99.5,1.9,-1.54
217,218.0,금민철,1986-11-07,Kia Tigers,2018,29.0,0.0,0.0,29.0,8.0,12.0,0.0,0.0,156.1,104.0,94.0,720.0,212.0,30.0,1.0,19.0,68.0,1.0,7.0,79.0,0.0,10.0,5.41,5.82,1.79,97.9,89.2,1.89,-3.08
218,219.0,김윤동,1993-04-01,Kia Tigers,2017,65.0,0.0,0.0,1.0,7.0,4.0,11.0,6.0,80.1,41.0,41.0,356.0,70.0,8.0,1.0,10.0,47.0,3.0,5.0,66.0,1.0,7.0,4.59,5.54,1.46,108.2,89.9,1.89,-0.31
219,220.0,산체스,1989-11-28,SSG Landers,2018,29.0,0.0,0.0,26.0,8.0,8.0,0.0,1.0,145.1,90.0,79.0,632.0,161.0,21.0,3.0,26.0,39.0,1.0,7.0,124.0,0.0,12.0,4.89,5.38,1.38,107.5,98.8,1.88,-1.34
220,221.0,진명호,1989-03-20,Lotte Giants,2019,60.0,0.0,0.0,0.0,3.0,2.0,0.0,9.0,63.1,24.0,24.0,273.0,56.0,12.0,0.0,4.0,35.0,4.0,1.0,51.0,0.0,3.0,3.41,4.13,1.44,122.9,101.2,1.88,0.68
221,222.0,양훈,1986-05-29,Nexen Heroes,2015,16.0,0.0,0.0,3.0,2.0,1.0,0.0,0.0,38.1,9.0,6.0,153.0,33.0,6.0,0.0,1.0,14.0,0.0,0.0,15.0,0.0,0.0,1.41,4.27,1.23,353.3,115.3,1.86,0.7
222,223.0,심창민,1993-02-01,Samsung Lions,2018,59.0,0.0,0.0,0.0,5.0,2.0,17.0,5.0,66.1,32.0,30.0,284.0,57.0,9.0,2.0,12.0,22.0,2.0,9.0,68.0,0.0,1.0,4.07,5.45,1.19,130.3,96.7,1.86,1.28
223,224.0,김상수,1988-01-02,Nexen Heroes,2017,60.0,0.0,0.0,0.0,0.0,7.0,15.0,9.0,61.1,29.0,26.0,262.0,59.0,9.0,0.0,8.0,22.0,5.0,3.0,62.0,1.0,5.0,3.82,4.39,1.32,130.4,110.9,1.85,-2.6
