시즌,에피소드,출연자,직업
3,62-1,김민경,개그맨
3,62-2,이재율 & 전수희,-
3,62-3,임라라 & 손민수,개그맨 겸 엔조이커플 유튜브 크리에이터
3,63-1,박일환,변호사/크리에이터
3,63-2,천종호,판사
3,63-3,박준영,재심 변호사
3,64-1,주언규,재테크 전문 크리에이터
3,64-2,이종학,한국조폐공사 화폐본부 과장
3,64-3,이용범 & 송정민,서울시청 세금징수과 38기동대 주무관
3,65,정우성,배우
3,66,남형도,체널리스트
3,67-1,박건호,대성마이맥 역사과 인터넷 강사
3,67-2,김동우,다큐멘터리 사진가
3,68,이승훈,뇌졸중 전문의
3,69-1,윤석덕,한국도로공사 설계 차장
3,69-2,권용태,움직이는 토끼모자 개발자
3,69-3,양재명,슈퍼호박 개발자
3,70-1,이진욱,94학번 Z세대 대표
3,70-2,이정희,YMCA 사무총장이자 386세대 대표
3,70-3,민석기,쿠첸 보안직이자 산업화 세대 대표
3,71-1,임두언,국립과천과학관 근무
3,71-2,김성민&최현민,서울과학고등학교 재학
3,72-1,변상희,KB국민은행 은행원
3,72-2,유꽃비,롯데칠성음료 수도권 1FM 팀장
3,72-3,박광주,기아자동차 영업부 부장
3,73-1,이금주,서울지방항공청 항공교통관제사
3,73-2,김태현,"한미연합군사령부 상병, 현 고시생"
3,74-1,권송희 & 이철희,이날치
3,74-2,이수영,광원산업 회장
3,74-3,"강혜인(아이키), 양사랑(코코)",여성 댄스듀오 올레디
3,74-4,이봉식,대한민국 해병대 1기
3,75-1,권동호,수화 통역사
3,75-2,솔비(권지안),화가/가수
3,75-3,윤선영,손 전문 모델
3,75-4,석노기,대장장이
3,76-1,이제길,항로표지관리원
3,76-2,김철미,부산본부세관 조사관
3,77-1,박승희,가방 디자이너
3,77-2,강영권,에디슨모터스 대표이사
3,78-1,김기환,지평주조 대표
3,78-2,김지민,수산물 정보 커뮤니티 운영자/어류 칼럼니스트
3,78-3,김용덕,테라로사( 커피전문점] 대표)
3,79-1,"김의주
곽유진","법치의학자
법의조사관"
3,79-2,이동계,미세증거 전문가
3,79-3,박남규,국립과학수사연구원장
3,80-1,신미애,구급지도관
3,80-2,김진선,서울특별시 119특수구조단 북한산산악구조대
3,80-3,박치우,강원소방본부 소방교
3,81-1,정상훈,경기도 남양주시 별가람고등학교 수학 교사
3,81-2,김정현,건국대학교 행정학과 2학년
3,81-3,조규태 & 조민기 부자,문화재 기증 부자
3,82-1,김지용,정신과 전문의
3,82-2,월호 스님,불교 승려
3,82-3,공유,배우
3,83-1,유영광,미국 오페라 가수
3,83-2,신진서,바둑기사
3,83-3,야옹이,웹툰작가
3,84-1,이승규,핑크퐁 대표
3,84-2,주지훈,배우
3,85-1,이진숙,인천경찰청 과학수사과 경위
3,85-2,황민구,법영상 전문 분석가
3,85-3,권일용,프로파일러
3,86-1,노희원,교통 리포터
3,86-2,박현준,헤비토커
3,86-3,정인성,책바 대표
3,86-4,금동건,환경미화원 겸 시인
3,87-1,류승연,"전 이스타항공 승무원, 현 취업준비생"
3,88-1,원태연,"시인, 작사가"
